index,source,target
0,"The selected item(s) will be
discarded. Is this OK?",
1,Select a recipient.,
2,Is this OK?,
3,Choose how many to give.,
4,"Select the number of items
you would like to deliver.",
5,"These items will be delivered.
Is this OK?",
6,Do you want to sort your items?,
7,Select item destination.,
8,"Press the Function Key
you want to register.
(Change pages with {K012}.)",
9,,
10,{c02}Not Combined{/c},
11,You have no materials.,
12,"You cannot carry any more
of this item type.",
13,There is no room in your Item Bag.,
14,Combine 2 types of items.,
15,Combine 3 types of items.,
16,Open the Combo List.,
17,"You can check combining recipes.
Recipes cannot be selected if no
recipe items have been purchased.",
18,"You have no room left in your
Item Box.",
19,,
20,"You cannot carry any more items.
Please decide what to do.",
21,Exchange with which item?,
22,"Item(s) will be exchanged.
Is this OK?",
23,,
24,dummy,
25,"Intro text for first-time 
Combiners. Improves your
Combination success rate.",
26,"Basic text. Owning Book 1
and this improves your
combination success rate.",
27,"Intermediate text. Owning
Books 1,2 and this improves
Combination success rate.",
28,"Advanced text. Owning books
1-3 and this, improves 
combination success rate.",
29,"Pro-level text. Owning 
books 1-4, and this improves
combination success rate",
30,"Master level text. What will
you create with such 
knowledge?",
31,"Restores a small amount of
health.",
32,"Restores a moderate amount
of health.",
33,"Very slightly increases
your maximum health level.",
34,"Slightly increases your
maximum health level.",
35,"Removes all traces of poison
from your body.",
36,"Boosts your natural ability
to heal.",
37,"Lets you run without tiring
for a short period of time.",
38,"Lets you run without tiring
for even longer than
regular Dash Juice.",
39,"Boosts your attack by 
filling you with -guess
what?- demonic strength.",
40,"Boosts your attack even
more than regular Demondrug.",
41,"Temporarily endows you with
the strength of a mighty
god. Potent!",
42,"Boosts defense by turning
your skin as hard as rock.",
43,"Boosts your defense even 
more than regular 
Armourskin.",
44,"Temporarily makes your skin
as hard as adamant. Potent!",
45,"Provides temporary relief
from extreme heat.",
46,"Provides temporary relief
from extreme cold.",
47,"Temporarily sharpens your 
sixth-sense, and attunes
you to the ways of monsters.",
48,"A liquid bugs suck from
monsters. Mixes with gastric
juices to form adhesive.",
49,"A broth made of only the
thickest of monster juices.
Very rich.",
50,"Removes all traces of 
poison and restores a small
amount of health.",
51,"Fully restores health and
maximizes the size of 
your health gauge.",
52,"Fully restores health and
maximizes the size of your 
health and stamina gauge.",
53,"Enhances the effects of
other materials, but cannot
be used on its own.",
