index,source,target
0,Nothing is equipped.,
1,軽い素材で作られた頭用装備。{j}使い手を選ばない堅実な{j}作りが安心。,"Head armor made from lightweight{j}materials. Its dependable, user-friendly{j}construction gives peace of mind."
2,鉱石で作られた頭用装備。{j}これまで多くのハンターを{j}守ってきた由緒ある装備。,Head equipment made from ore.{j}A venerable piece of equipment that has{j}protected many hunters.
3,ハンター用に作られた頭用{j}装備。頑丈で通気性も良く{j}多くのハンターが愛用する。,"Head equipment made for Hunters. Sturdy{j}and well-ventilated, loved by many{j}Hunters."
4,ハンター用に作られた頭用{j}装備。目を覆う部分に{j}スコープを内蔵。,Head{j}equipment made for Hunters.{j}Built-in scope in the eye cover.
5,モンスターの頭骨をベースに{j}作られた頭用装備。{j}ネイティブな香りが漂う。,Head armor made using{j}a monster skull as its base.{j}It carries a native scent.
6,頭骨になぞの装飾をあしらっ{j}た頭用装備。ここぞという{j}ときに装備したい一着。,Head gear adorned with mysterious{j}ornaments on a skull. A piece you will{j}want to equip when it truly counts.
7,ランポスの素材で作られた{j}頭用装備。{j}機能面でも実に優秀。,Head equipment made from Velociprey{j}materials. It is also truly excellent in{j}functionality.
8,ランポスの素材を繋ぎ合わせ{j}て作られた頭用装備。{j}乱戦にも耐えうる防御力。,Head gear made by joining Velociprey{j}materials together.{j}Defense that endures a brawl.
9,ハンター用に作られた頭用{j}装備。かけだしのハンターに{j}は手の届かない品。,Head{j}equipment made for Hunters. An item{j}beyond the reach of novice Hunters.
10,ハンター用に作られた頭用{j}装備。これを着用することは、{j}一流ハンターの証。,Head equipment made for Hunters. Wearing{j}this marks you as a first-class Hunter.{j}
11,ランゴスタの素材で覆われた{j}頭用装備。火と氷には極端に{j}弱いが、硬い外殻により強固。,"{j}Head equipment covered in Vespoid materials. It is extremely{j}weak to Fire and Ice, but its hard outer shell makes it sturdy."
12,ランゴスタの素材で覆われた{j}頭用装備。元が昆虫の甲殻だ{j}とは信じられないほど。,Head equipment covered in Vespoid{j}materials. It's hard to believe it was{j}originally an insect's shell.
13,強固なカンタロスの素材で{j}覆われた頭用装備。その光沢{j}は、金属と見まごうばかり。,Head armor covered in{j}hard Kantharos material. Its luster{j}could easily be mistaken for metal.
14,強固なカンタロスの素材で{j}覆われた頭用装備。龍耐性に{j}特化した貴重な防具。,Head armor covered in hard Kantharos{j}material. A precious piece of Armor{j}specialized for dragon resistance.
15,貴重な鉱石が主成分の頭用{j}装備。くせがなく手練れの{j}ハンターも愛用する。,Head armor made mainly of precious ore.{j}Unpretentious; even veteran Hunters favor{j}it.
16,貴重な鉱石が主成分の{j}頭用装備。その質実剛健な{j}美しさに見とれる者も多い。,"Head armor made primarily of precious ore.{j}Many are captivated by its sturdy, simple{j}beauty."
