index,source,target
0,何も装備していない。{j}{j},Nothing is equipped.{j}{j}
1,新米ハンターでも扱える大剣。{j}多数のモンスターをなぎ払う{j}ことが可能な武器。,A Great Sword even novice Hunters can wield. A{j}weapon capable of mowing down hordes of monsters.{j}
2,新米ハンターでも扱える大剣。{j}多数のモンスターをなぎ払う{j}ことが可能な武器。,A Great Sword even novice Hunters can wield. A{j}weapon capable of mowing down hordes of monsters.{j}
3,より純度の高い鉄を精製し、{j}攻撃力を強化した大剣。{j}後の強化で様々な派生をする。,"Forged from higher-purity iron,{j}this Great Sword has enhanced Attack.{j}Later upgrades branch into many paths."
4,顔を持つ大剣。伝説によれば{j}主を救う為に戦ったアイルー{j}の魂が込められているという。,A Great Sword that bears a face. Legend says it{j}holds the soul of the Felyne who fought to save its{j}master.
5,地上において並ぶもの無しと{j}される一振り。{j}まごうことなき名刀。,A single blade{j}said to have no equal upon the earth. A{j}masterwork sword beyond any doubt.
6,より純度の高い鉄を精製し、{j}攻撃力を強化した大剣。{j}後の強化で様々な派生をする。,"Forged from higher-purity iron,{j}this Great Sword has enhanced Attack.{j}Later upgrades branch into many paths."
7,灼熱の蒼い炎をまとった大剣。{j}荒ぶる煌きに魅入られた者は、{j}例外なくその刃の餌食となる。,A Great Sword wrapped in searing blue flame.{j}Those beguiled by its raging brilliance{j}become prey to that blade without exception.
8,鉤爪状の刃が飛び出す鉄大剣。{j}普段は刀身の中に収納されて{j}いる。開発途上品。,An iron Great Sword with claw-shaped blades that{j}spring out. They are normally stored inside the{j}blade. A work in progress.
9,ブレイズブレイド強化版。{j}この剣を扱えるのであれば、{j}飛竜類さえおそれる事は無い。,"Upgraded version of Blaze Blade.{j}If you can wield this sword,{j}you need not fear even Flying Wyverns."
10,東方伝来の加工技術の剣。{j}丹念に加工された刃は強靭で、{j}粘りがある。手入れは重要。,A sword made with crafting techniques from the{j}East. Its carefully worked blade is sturdy yet{j}resilient. Maintenance is important.
11,東方伝来の加工技術の剣。{j}丹念に加工された刃は強靭で、{j}粘りがある。手入れは重要。,A sword made with crafting techniques from the{j}East. Its carefully worked blade is sturdy yet{j}resilient. Maintenance is important.
12,東方伝来の加工技術の剣。{j}丹念に加工された刃は強靭で、{j}粘りがある。手入れは重要。,A sword made with crafting techniques from the{j}East. Its carefully worked blade is sturdy yet{j}resilient. Maintenance is important.
13,鉄刀の工房オリジナル強化品。{j}刀身の背に牙を用いて、斬撃{j}時に深手をあたえる刀に改造。,A workshop-original reinforced iron katana.{j}Modified into a blade that uses fangs on the spine{j}to inflict deep wounds when slashing.
14,鉄刀の工房オリジナル強化品。{j}刀身の背に牙を用いて、斬撃{j}時に深手をあたえる刀に改造。,A workshop-original reinforced iron katana.{j}Modified into a blade that uses fangs on the spine{j}to inflict deep wounds when slashing.
15,鉄刀の工房オリジナル強化品。{j}刀身の背に牙を用いて、斬撃{j}時に深手をあたえる刀に改造。,A workshop-original reinforced iron katana.{j}Modified into a blade that uses fangs on the spine{j}to inflict deep wounds when slashing.
16,骨刀強化版。{j}薬品加工を施された骨刀。{j}鋭い虫の羽が、刃となる。,Upgraded Bone Blade.{j}A bone blade treated with chemicals.{j}Sharp insect wings serve as its edge.
17,骨刀強化版。{j}薬品加工を施された骨刀。{j}鋭い虫の羽が、刃となる。,Upgraded Bone Blade.{j}A bone blade treated with chemicals.{j}Sharp insect wings serve as its edge.
18,盾の役割を果たす大剣。{j}防御に重点を置いたつくりで、{j}防御力上昇特性がある。,"A Great Sword that serves as a shield. Crafted with{j}a focus on defense, it has a Defense Up trait.{j}"
19,落日の色に染まる飛竜刀。{j}朱く強靭な刃は一太刀ごとに、{j}熱波と爆炎の洗礼を見舞う。,"A Wyvern Blade dyed in the hues of the setting sun.{j}Its vermilion, tenacious blade visits a baptism of{j}heat waves and blazing flame with every slash."
20,盾の役割を果たす大剣。{j}防御に重点を置いたつくりで、{j}防御力上昇特性がある。,"A Great Sword that serves as a shield. Crafted with{j}a focus on defense, it has a Defense Up trait.{j}"
21,斬れ味は良くないが、攻撃力{j}に特化した斧剣。強化で特殊{j}な成長を遂げる。大器晩成型。,"Its sharpness is poor, but it is an axe sword{j}specialized in Attack. Upgrading brings a special{j}growth. A late bloomer."
22,雌火竜の素材を用いて作られ{j}た深緑の飛竜刀。高い鋭さと、{j}威力を両立した業物である。,A deep-green wyvern blade forged from Rathian{j}materials. A fine weapon that balances keen{j}sharpness and raw power.
23,斬れ味は良くないが、攻撃力{j}に特化した斧剣。強化で特殊{j}な成長を遂げる。大器晩成型。,"Its sharpness is poor, but it is an axe sword{j}specialized in Attack. Upgrading brings a special{j}growth. A late bloomer."
24,骨製の斧剣。その塊の大きさ{j}ゆえ、斬るというよりも叩き{j}潰すといった感覚に近い。,"An axe-sword carved from bone. Given the sheer bulk{j}of the thing, it feels closer to pulverizing than{j}to cutting."
25,骨製の斧剣。その塊の大きさ{j}ゆえ、斬るというよりも叩き{j}潰すといった感覚に近い。,"An axe-sword carved from bone. Given the sheer bulk{j}of the thing, it feels closer to pulverizing than{j}to cutting."
26,鎌の形態をとり、飛竜類を{j}一刀両断する死神の大鎌。{j}薬品加工。,"Taking the form of a scythe, a reaper's great{j}scythe that cleaves wyverns in two. Chemical{j}processing."
27,鎌の形態をとり、飛竜類を{j}一刀両断する死神の大鎌。{j}薬品加工。,"Taking the form of a scythe, a reaper's great{j}scythe that cleaves wyverns in two. Chemical{j}processing."
28,鉄と実力を二分する骨剣。{j}多数のモンスターをなぎ払う{j}ことが可能な武器。,A bone sword that rivals iron.{j}A weapon capable of{j}mowing down hordes of monsters.
29,鉄と実力を二分する骨剣。{j}多数のモンスターをなぎ払う{j}ことが可能な武器。,A bone sword that rivals iron.{j}A weapon capable of{j}mowing down hordes of monsters.
30,モンスターの爪や牙を利用{j}して攻撃力を強化した大剣。{j}後の強化で３系統に派生する。,A Great Sword that boosts attack{j}using monster claws and fangs.{j}Later upgrades branch into 3 paths.
31,骨刀強化版。{j}薬品加工を施された骨刀。{j}鋭い虫の羽が、刃となる。,Upgraded Bone Blade.{j}A bone blade treated with chemicals.{j}Sharp insect wings serve as its edge.
32,モンスターの爪や牙を利用{j}して攻撃力を強化した大剣。{j}後の強化で３系統に派生する。,A Great Sword that boosts attack{j}using monster claws and fangs.{j}Later upgrades branch into 3 paths.
33,骨剣に頑強な盾蟹の殻を{j}組み合わせた殻大剣。{j}安定した斬れ味を得た。,A shell Great Sword that pairs a bone blade with{j}the sturdy shell of a Shield Crab. It has gained{j}stable sharpness.
34,大型の骨から強化される大剣。{j}重量で破壊力を得る骨大剣で、{j}これを扱えるなら一人前。,Great Sword upgraded from large bone.{j}Its weight grants destructive power.{j}Wield it to become a full-fledged Hunter.
35,ゴーレムブレイド強化版。{j}モンスターの体液で、骨材と{j}甲殻とをつなぎ合わせた逸品。,Enhanced Golem Blade.{j}A masterpiece that binds bone material and{j}carapace together with monster bodily fluids.
36,ゴーレムブレイド最終強化版。{j}薬品加工でより斬れ味が上昇。{j}雌雄関係にある剣が存在する。,Final upgraded Golem Blade.{j}Chemical processing further increases sharpness.{j}There is a sword that forms a pair with it.
37,伝説の龍殺しの大剣。{j}〜雄志を以て我を振るう者{j}　　龍鱗を薄衣と為さん　〜,A legendary dragon-slaying Great Sword.{j}~He who wields me with noble ambition{j}Let dragon scales be as a thin robe~
38,巨大なハサミを加工した大剣。{j}楔の如き爪は、頑丈な鱗すら{j}引きちぎり、肉を食い破る。,"A Great Sword crafted from a giant pincer. Its{j}claws, like wedges, tear off even sturdy scales and{j}tear through flesh."
39,骨加工の特徴である属性強化。{j}剣を振ったときに、ヒレの刃{j}から高圧縮の水が出る。,"Element enhancement, a hallmark of bone working.{j}When the sword is swung, highly compressed water{j}shoots from its fin blade."
